hash,block_number,from,token_b_address,token_a_amount_raw,token_a_address,token_b_amount_raw,token_b_address (1),fee
\xc9851f374701f76024c1f44f7166e0ef8a99456750463dc9d7b426e6359b9b20,12168368,\xe2388f22cf5e328c197d6530663809cc0408a510,\x956f47f50a910163d8bf957cf5846d573e7f87ca,119248224557418002464468014,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,385878266886967004057471300,\x956f47f50a910163d8bf957cf5846d573e7f87ca,398581050000000000
\x3a3fdaaa52f99c3004370494e2b0852f9c6fb9b02a4f004354db95f8243a3150,12168369,\xe28b3058a2f7f251741a7289b633a902126260ea,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,23820490941487616263297,\x956f47f50a910163d8bf957cf5846d573e7f87ca,7587187036450151105513,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,105519076000000000
\x641b95d1f76a4a9e0101df94aab04aee23f95bca349fb6a68d79b180cf84e533,12168369,\xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,\x956f47f50a910163d8bf957cf5846d573e7f87ca,3650791146857396019846,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7580513152923804785272828,\x956f47f50a910163d8bf957cf5846d573e7f87ca,5065046454000506454
\x641b95d1f76a4a9e0101df94aab04aee23f95bca349fb6a68d79b180cf84e533,12168369,\xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,1500858802284305819009811,\x956f47f50a910163d8bf957cf5846d573e7f87ca,469310538337122748794652,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,5065046454000506454
\xb871dbed793b312bc2b13f1a496d8c03630ca2298ce9391029740c56389c33e5,12168369,\xee622122bc71ee46285c3bbd36e0f134a7271c85,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,64992597869506647161037,\x956f47f50a910163d8bf957cf5846d573e7f87ca,21118000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,92602575000000000
\x59e7772688fe9966abfeba79408ca9aedbf316bf4761916f12906b995d1e5c67,12168369,\xfea0904acc8df0f3288b6583f60b86c36ea52acd,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,966302891882611742372307,\x956f47f50a910163d8bf957cf5846d573e7f87ca,305051849919129786716524,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,836278931730000000
\x3ded679ac6540dd85a8615814487cbe393da6855cadb9b8c7997b2c5eb097078,12168369,\x1005997335d345f9701494851a4b86021f685b5e,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,107857616461960545272778,\x956f47f50a910163d8bf957cf5846d573e7f87ca,35022298923407790000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,98986000000000000
\x59e7772688fe9966abfeba79408ca9aedbf316bf4761916f12906b995d1e5c67,12168369,\xfea0904acc8df0f3288b6583f60b86c36ea52acd,\x956f47f50a910163d8bf957cf5846d573e7f87ca,455470626499779041233,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,951871302745291212366328,\x956f47f50a910163d8bf957cf5846d573e7f87ca,836278931730000000
\x47b5e0d53a41006c6d5a48d6d4ae4a8d4404836a2127d567dd61effc7bc5835f,12168369,\x531e3a8afbcefb73b9ee37e9db2ec572a222c59e,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,2397107211798494530700164,\x956f47f50a910163d8bf957cf5846d573e7f87ca,770764340795667927770417,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,216683224000000000
\x3347f819f2bf7e7c54f59b97fecb84399ff479f93d2fa90f653074c2bc595a04,12168369,\xfea0904acc8df0f3288b6583f60b86c36ea52acd,\x956f47f50a910163d8bf957cf5846d573e7f87ca,928783241911505597655,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1945270754276974176331338,\x956f47f50a910163d8bf957cf5846d573e7f87ca,738352823040000000
\xb7dd780066a84cd1fc4716ed11673c64d8af03ca28bae4c06ce21d0e2433941b,12168369,\x155ab90755eefc6f521cb3bccba4c5aedcd4cdb7,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,652232187338859956776258,\x956f47f50a910163d8bf957cf5846d573e7f87ca,207200000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,198988450000000000
